"","key_ID","parliament_ID","session_ID","question_ID","question_number","member_ID","member_name","constituency","event_ID","date","event"
"2440",2440,42,"42-1","42-1-Q-1041","Q-1041",82,"Daniel Blaikie","Elmwood—Transcona",1,"2017/05/08","Notice"
"2441",2441,42,"42-1","42-1-Q-1042","Q-1042",81,"Bill Blaikie","Elmwood—Transcona",2,"2017/09/18","Made an Order for Return and answer tabled "
"2442",2442,42,"42-1","42-1-Q-1042","Q-1042",82,"Daniel Blaikie","Elmwood—Transcona",2,"2017/09/18","Made an Order for Return and answer tabled "
"2443",2443,42,"42-1","42-1-Q-1042","Q-1042",81,"Bill Blaikie","Elmwood—Transcona",1,"2017/05/08","Notice"
"2444",2444,42,"42-1","42-1-Q-1042","Q-1042",82,"Daniel Blaikie","Elmwood—Transcona",1,"2017/05/08","Notice"
"2445",2445,42,"42-1","42-1-Q-1043","Q-1043",111,"John Brassard","Barrie—Innisfil",2,"2017/09/18","Made an Order for Return and answer tabled "
"2446",2446,42,"42-1","42-1-Q-1043","Q-1043",111,"John Brassard","Barrie—Innisfil",1,"2017/05/09","Notice"
"2447",2447,42,"42-1","42-1-Q-1044","Q-1044",NA,NA,"Carlton Trail—Eagle Creek",1,"2017/05/09","Notice"
"2448",2448,42,"42-1","42-1-Q-1044","Q-1044",NA,NA,"Carlton Trail—Eagle Creek",2,"2017/09/18","Answered"
"2449",2449,42,"42-1","42-1-Q-1045","Q-1045",628,"Blake Richards","Banff—Airdrie",1,"2017/05/10","Notice"
"2450",2450,42,"42-1","42-1-Q-1045","Q-1045",628,"Blake Richards","Banff—Airdrie",3,"2017/11/03","Made an Order for Return and revised answer tabled "
"2451",2451,42,"42-1","42-1-Q-1045","Q-1045",628,"Blake Richards","Banff—Airdrie",2,"2017/09/18","Made an Order for Return and answer tabled "
"2452",2452,42,"42-1","42-1-Q-1046","Q-1046",169,"Tony Clement","Parry Sound—Muskoka",1,"2017/05/10","Notice"
"2453",2453,42,"42-1","42-1-Q-1046","Q-1046",169,"Tony Clement","Parry Sound—Muskoka",2,"2017/09/18","Made an Order for Return and answer tabled "
"2454",2454,42,"42-1","42-1-Q-1047","Q-1047",131,"Blaine Calkins","Red Deer—Lacombe",1,"2017/05/15","Notice"
"2455",2455,42,"42-1","42-1-Q-1047","Q-1047",131,"Blaine Calkins","Red Deer—Lacombe",2,"2017/09/18","Answered"
"2456",2456,42,"42-1","42-1-Q-1048","Q-1048",NA,NA,"Carlton Trail—Eagle Creek",1,"2017/05/15","Notice"
"2457",2457,42,"42-1","42-1-Q-1048","Q-1048",NA,NA,"Carlton Trail—Eagle Creek",2,"2017/09/18","Made an Order for Return and answer tabled "
"2458",2458,42,"42-1","42-1-Q-1049","Q-1049",37,"Robert Aubin","Trois-Rivières",2,"2017/09/18","Made an Order for Return and answer tabled "
"2459",2459,42,"42-1","42-1-Q-1049","Q-1049",37,"Robert Aubin","Trois-Rivières",1,"2017/05/17","Notice"
"2460",2460,42,"42-1","42-1-Q-1050","Q-1050",332,"Rachael Harder","Lethbridge",2,"2017/09/18","Made an Order for Return and answer tabled "
"2461",2461,42,"42-1","42-1-Q-1050","Q-1050",332,"Rachael Harder","Lethbridge",1,"2017/05/18","Notice"
"2462",2462,42,"42-1","42-1-Q-1051","Q-1051",332,"Rachael Harder","Lethbridge",1,"2017/05/18","Notice"
"2463",2463,42,"42-1","42-1-Q-1051","Q-1051",332,"Rachael Harder","Lethbridge",2,"2017/09/18","Made an Order for Return and answer tabled "
"2464",2464,42,"42-1","42-1-Q-1052","Q-1052",626,"Michelle Rempel","Calgary Nose Hill",2,"2017/09/18","Answered"
"2465",2465,42,"42-1","42-1-Q-1052","Q-1052",626,"Michelle Rempel","Calgary Nose Hill",1,"2017/05/29","Notice"
"2466",2466,42,"42-1","42-1-Q-1053","Q-1053",610,"Anne Minh-Thu Quach","Salaberry—Suroît",1,"2017/05/30","Notice"
"2467",2467,42,"42-1","42-1-Q-1053","Q-1053",610,"Anne Minh-Thu Quach","Salaberry—Suroît",2,"2017/09/18","Made an Order for Return and answer tabled "
"2468",2468,42,"42-1","42-1-Q-1054","Q-1054",392,"Peter Kent","Thornhill",2,"2017/09/18","Made an Order for Return and answer tabled "
"2469",2469,42,"42-1","42-1-Q-1054","Q-1054",392,"Peter Kent","Thornhill",1,"2017/05/30","Notice"
"2470",2470,42,"42-1","42-1-Q-1055","Q-1055",542,"John Nater","Perth—Wellington",2,"2017/09/18","Made an Order for Return and answer tabled "
"2471",2471,42,"42-1","42-1-Q-1055","Q-1055",542,"John Nater","Perth—Wellington",1,"2017/05/31","Notice"
"2472",2472,42,"42-1","42-1-Q-1056","Q-1056",37,"Robert Aubin","Trois-Rivières",2,"2017/09/18","Made an Order for Return and answer tabled "
"2473",2473,42,"42-1","42-1-Q-1056","Q-1056",37,"Robert Aubin","Trois-Rivières",1,"2017/05/31","Notice"
"2474",2474,42,"42-1","42-1-Q-1057","Q-1057",453,"Tom Lukiwski","Moose Jaw—Lake Centre—Lanigan",2,"2017/09/18","Made an Order for Return and answer tabled "
"2475",2475,42,"42-1","42-1-Q-1057","Q-1057",453,"Tom Lukiwski","Moose Jaw—Lake Centre—Lanigan",1,"2017/05/31","Notice"
"2476",2476,42,"42-1","42-1-Q-1058","Q-1058",614,"Lisa Raitt","Milton",2,"2017/09/18","Made an Order for Return and answer tabled "
"2477",2477,42,"42-1","42-1-Q-1058","Q-1058",614,"Lisa Raitt","Milton",1,"2017/06/01","Notice"
"2478",2478,42,"42-1","42-1-Q-1059","Q-1059",88,"Steven Blaney","North Island—Powell River",1,"2017/06/05","Notice"
"2479",2479,42,"42-1","42-1-Q-1059","Q-1059",87,"Rachel Blaney","North Island—Powell River",1,"2017/06/05","Notice"
"2480",2480,42,"42-1","42-1-Q-1059","Q-1059",88,"Steven Blaney","North Island—Powell River",2,"2017/09/18","Made an Order for Return and answer tabled "
"2481",2481,42,"42-1","42-1-Q-1059","Q-1059",87,"Rachel Blaney","North Island—Powell River",2,"2017/09/18","Made an Order for Return and answer tabled "
"2482",2482,42,"42-1","42-1-Q-1060","Q-1060",87,"Rachel Blaney","North Island—Powell River",1,"2017/06/05","Notice"
"2483",2483,42,"42-1","42-1-Q-1060","Q-1060",88,"Steven Blaney","North Island—Powell River",1,"2017/06/05","Notice"
"2484",2484,42,"42-1","42-1-Q-1060","Q-1060",87,"Rachel Blaney","North Island—Powell River",2,"2017/09/18","Made an Order for Return and answer tabled "
"2485",2485,42,"42-1","42-1-Q-1060","Q-1060",88,"Steven Blaney","North Island—Powell River",2,"2017/09/18","Made an Order for Return and answer tabled "
"2486",2486,42,"42-1","42-1-Q-1061","Q-1061",331,"Cheryl Hardcastle","Windsor—Tecumseh",1,"2017/06/05","Notice"
"2487",2487,42,"42-1","42-1-Q-1061","Q-1061",331,"Cheryl Hardcastle","Windsor—Tecumseh",2,"2017/09/18","Answered"
"2488",2488,42,"42-1","42-1-Q-1062","Q-1062",655,"Bob Saroya","Markham—Unionville",2,"2017/09/18","Answered"
"2489",2489,42,"42-1","42-1-Q-1062","Q-1062",655,"Bob Saroya","Markham—Unionville",1,"2017/06/05","Notice"
"2490",2490,42,"42-1","42-1-Q-1063","Q-1063",655,"Bob Saroya","Markham—Unionville",2,"2017/09/18","Made an Order for Return and answer tabled "
