"Downloaded on",05/09/2020,"21:07:08 EDT"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22members%22%2C%22chamber%22%3A%22Senate%22%7D

Name,URL,State,District,Party,Terms
"Senator Chafee, John H.",https://www.congress.gov/member/john-chafee/C000269,"Rhode Island",,Republican,"Senate: 1977-1999"
"Senator Chafee, Lincoln",https://www.congress.gov/member/lincoln-chafee/C001040,"Rhode Island",,Republican,"Senate: 1999-2007"
"Senator Chambliss, Saxby",https://www.congress.gov/member/saxby-chambliss/C000286,Georgia,,Republican,"Senate: 2003-2015 | House: 1995-2003"
"Senator Chiesa, Jeff",https://www.congress.gov/member/jeffrey-chiesa/C001100,"New Jersey",,Republican,"Senate: 2013"
"Senator Chiles, Lawton",https://www.congress.gov/member/lawton-chiles/C000356,Florida,,Democratic,"Senate: 1971-1989"
"Senator Church, Frank",https://www.congress.gov/member/frank-church/C000388,Idaho,,Democratic,"Senate: 1957-1981"
"Senator Clark, Dick",https://www.congress.gov/member/richard-clark/C000448,Iowa,,Democratic,"Senate: 1973-1979"
"Senator Cleland, Max",https://www.congress.gov/member/max-cleland/C001034,Georgia,,Democratic,"Senate: 1997-2003"
"Senator Clinton, Hillary Rodham",https://www.congress.gov/member/hillary-clinton/C001041,"New York",,Democratic,"Senate: 2001-2009"
"Senator Coats, Daniel",https://www.congress.gov/member/daniel-coats/C000542,Indiana,,Republican,"Senate: 1989-1999, 2011-2017 | House: 1981-1989"
"Senator Coburn, Tom",https://www.congress.gov/member/tom-coburn/C000560,Oklahoma,,Republican,"Senate: 2005-2015 | House: 1995-2001"
"Senator Cochran, Thad",https://www.congress.gov/member/thad-cochran/C000567,Mississippi,,Republican,"Senate: 1979-2018 | House: 1973-1979"
"Senator Cohen, William S.",https://www.congress.gov/member/william-cohen/C000598,Maine,,Republican,"Senate: 1979-1997 | House: 1973-1979"
"Senator Coleman, Norm",https://www.congress.gov/member/norm-coleman/C001057,Minnesota,,Republican,"Senate: 2003-2009"
"Senator Collins, Susan M.",https://www.congress.gov/member/susan-collins/C001035,Maine,,Republican,"Senate: 1997-Present"
"Senator Conrad, Kent",https://www.congress.gov/member/kent-conrad/C000705,"North Dakota",,Democratic,"Senate: 1987-2013"
"Senator Cook, Marlow W.",https://www.congress.gov/member/marlow-cook/C000721,Kentucky,,Republican,"Senate: 1967-1975"
"Senator Coons, Christopher A.",https://www.congress.gov/member/christopher-coons/C001088,Delaware,,Democratic,"Senate: 2010-Present"
"Senator Corker, Bob",https://www.congress.gov/member/bob-corker/C001071,Tennessee,,Republican,"Senate: 2007-2019"
"Senator Cornyn, John",https://www.congress.gov/member/john-cornyn/C001056,Texas,,Republican,"Senate: 2002-Present"
