"","x"
"382","05/08/1992"
"383","05/11/1992"
"384","05/12/1992"
"385","05/13/1992"
"386","05/14/1992"
"387","05/15/1992"
"388","05/18/1992"
"389","05/19/1992"
"390","05/20/1992"
"391","05/21/1992"
"392","05/22/1992"
"393","05/26/1992"
"394","06/01/1992"
"395","06/02/1992"
"396","06/03/1992"
"397","06/04/1992"
"398","06/05/1992"
"399","06/08/1992"
"400","06/09/1992"
"401","06/10/1992"
"402","06/11/1992"
"403","06/12/1992"
"404","06/15/1992"
"405","06/16/1992"
"406","06/17/1992"
"407","06/18/1992"
"408","06/19/1992"
"409","06/22/1992"
"410","06/23/1992"
"411","06/24/1992"
"412","06/25/1992"
"413","06/26/1992"
"414","06/29/1992"
"415","06/30/1992"
"416","07/01/1992"
"417","07/02/1992"
"418","07/03/1992"
"419","07/06/1992"
"420","07/07/1992"
"421","07/08/1992"
"422","07/09/1992"
"423","07/10/1992"
"424","07/13/1992"
"425","07/14/1992"
"426","07/15/1992"
"427","07/16/1992"
"428","08/06/1992"
"429","09/24/1992"
"430","09/25/1992"
"431","10/19/1992"
"432","10/20/1992"
"433","10/21/1992"
"434","10/22/1992"
"435","10/23/1992"
"436","10/26/1992"
"437","10/27/1992"
"438","10/28/1992"
"439","10/29/1992"
"440","10/30/1992"
"441","11/05/1992"
"442","11/30/1992"
"443","12/01/1992"
"444","12/02/1992"
"445","12/03/1992"
"446","12/04/1992"
"447","12/07/1992"
"448","12/08/1992"
"449","12/09/1992"
"450","12/10/1992"
"451","12/11/1992"
"452","12/14/1992"
"453","12/15/1992"
"454","12/16/1992"
"455","12/17/1992"
"456","01/11/1993"
"457","01/12/1993"
"458","01/13/1993"
"459","01/14/1993"
"460","01/15/1993"
"461","01/18/1993"
"462","01/19/1993"
"463","01/20/1993"
"464","01/21/1993"
"465","01/22/1993"
"466","01/25/1993"
"467","01/26/1993"
"468","01/27/1993"
"469","01/28/1993"
"470","01/29/1993"
"471","02/01/1993"
"472","02/02/1993"
"473","02/03/1993"
"474","02/04/1993"
"475","02/05/1993"
"476","02/08/1993"
"477","02/09/1993"
"478","02/10/1993"
"479","02/11/1993"
"480","02/12/1993"
"481","02/15/1993"
"482","02/16/1993"
"483","02/17/1993"
"484","02/18/1993"
"485","02/19/1993"
"486","02/21/1993"
"487","02/22/1993"
"488","02/23/1993"
"489","02/24/1993"
"490","02/25/1993"
"491","02/26/1993"
"492","03/01/1993"
"493","03/02/1993"
"494","03/03/1993"
"495","03/04/1993"
"496","03/05/1993"
"497","03/08/1993"
"498","03/09/1993"
"499","03/10/1993"
"500","03/11/1993"
"501","03/12/1993"
"502","03/15/1993"
"503","03/16/1993"
"504","03/17/1993"
"505","03/18/1993"
"506","03/19/1993"
"507","03/22/1993"
"508","03/23/1993"
"509","03/24/1993"
"510","03/25/1993"
"511","03/26/1993"
"512","03/29/1993"
"513","03/30/1993"
"514","03/31/1993"
"515","04/01/1993"
"516","04/02/1993"
"517","04/14/1993"
"518","04/15/1993"
"519","04/16/1993"
"520","04/19/1993"
"521","04/20/1993"
"522","04/21/1993"
"523","04/22/1993"
"524","04/23/1993"
"525","04/26/1993"
