"uri","date","title","uin"
"http://data.parliament.uk/resources/104526","2010-01-12","Personal Care at Home Bill, Question put, That the amendment 18 be made. Sitting in Committe","CD:2010-01-12:35"
"http://data.parliament.uk/resources/104527","2010-01-12","Personal Care at Home Bill, Question put, That the amendment 42 be made. Sitting in Committe","CD:2010-01-12:36"
"http://data.parliament.uk/resources/104522","2010-01-11","Children, Schools and Families Bill, Question put, That the amendment be made","CD:2010-01-11:31"
"http://data.parliament.uk/resources/104523","2010-01-11","Children, Schools and Families Bill, Question put forthwith (Standing Order No. 62(2)), That the Bill be now read a Second time. Sitting in Committe","CD:2010-01-11:32"
"http://data.parliament.uk/resources/104524","2010-01-11","Children, Schools and Families Bill (Programme), Motion made, and Question put forthwith (Standing Order No. 83A(7))","CD:2010-01-11:33"
"http://data.parliament.uk/resources/104521","2010-01-06","Sittings of the House, Question put, That the amendment be made","CD:2010-01-06:30"
"http://data.parliament.uk/resources/104517","2010-01-05","Fiscal Responsibility Bill, Question put, That the amendment be made","CD:2010-01-05:26"
"http://data.parliament.uk/resources/104518","2010-01-05","Fiscal Responsibility Bill, Question put forthwith (Standing Order No. 62(2)), That the Bill be now read a Second time","CD:2010-01-05:27"
"http://data.parliament.uk/resources/104519","2010-01-05","Fiscal Responsibility Bill, Fiscal Responsibility Bill (Programme), Motion made, and Question put forthwith, (Standing Order No. 83A (7) )","CD:2010-01-05:28"
"http://data.parliament.uk/resources/104520","2010-01-05","Business without Debate, That the draft Immigration (Biometric Registration) (Amendment No. 2) Regulations 2009, which were laid before this House on 25 November, be approved","CD:2010-01-05:29"
"http://data.parliament.uk/resources/104514","2009-12-14","Personal Care at Home Bill (Programme), Motion made, and Question put forthwith, (Standing Order No. 8 3 A)","CD:2009-12-14:23"
"http://data.parliament.uk/resources/104515","2009-12-14","Regional Select Committee (London), Question put forthwith, That the Question be now put (Standing Order No. 36)","CD:2009-12-14:24"
"http://data.parliament.uk/resources/104516","2009-12-14","Regional Select Committee (London), Motion made , and Question put accordingly","CD:2009-12-14:25"
"http://data.parliament.uk/resources/104509","2009-12-09","Environmental Protection. That the draft Environmental Permitting (England and Wales) (Amendment) (No. 2) Regulations 2009, which were laid) re this House on 28 October, in the previous Session of Parliament, be approved","CD:2009-12-09:18"
"http://data.parliament.uk/resources/104510","2009-12-09","Child Poverty Bill, Question put, That the new clause 1 be read a Second time","CD:2009-12-09:19"
"http://data.parliament.uk/resources/104511","2009-12-09","Child Poverty Bill, Question put, That the new clause 2 be read a Second time","CD:2009-12-09:20"
"http://data.parliament.uk/resources/104512","2009-12-09","Child Poverty Bill, Question put, That the new clause 3 be read a Second time","CD:2009-12-09:21"
"http://data.parliament.uk/resources/104513","2009-12-09","Child Poverty Bill, Debate interrupted (Programme Order, 20 July) The Deputy Speaker put forthwith the Question already proposed from the Chair (Standing Order No. 83E), That the amendment be made","CD:2009-12-09:22"
"http://data.parliament.uk/resources/104506","2009-12-08","Diabled benfits and the elderly Question put accordingly (Standing Order No. 31(2), That the original words stand part of the Question.","CD:2009-12-08:15"
"http://data.parliament.uk/resources/104507","2009-12-08","Local Govt finance Question put (Standing Order No. 31 (2)) that the Original words stand part of the Question","CD:2009-12-08:16"
"http://data.parliament.uk/resources/104508","2009-12-08","Local govt finance Question put forthwith (Standing Order No. 31(2)), that the proposed words be there added","CD:2009-12-08:17"
"http://data.parliament.uk/resources/104501","2009-12-02","Equalities Bill that Clause be bought up and Question be put","CD:2009-12-02:10"
"http://data.parliament.uk/resources/104502","2009-12-02","Equalities Bill, Question put, That the amendment 18 and 139 to 169 be made","CD:2009-12-02:11"
"http://data.parliament.uk/resources/104503","2009-12-02","Equalities Bill, Question put, That the amendment 37, 170 to 174 and 177 to 180 be made","CD:2009-12-02:12"
"http://data.parliament.uk/resources/104504","2009-12-02","Equalities Bill The Deputy Speaker put forthwith the Question already proposed from the Chair (Standing Order No. 83E), That the Bill be now read the Third time","CD:2009-12-02:13"
"http://data.parliament.uk/resources/104505","2009-12-02","Independent Parliamentary Standards Authority Board Question put , That the main Question be not now put","CD:2009-12-02:14"
"http://data.parliament.uk/resources/104497","2009-12-01","European Financial Services Proposals, The Question be put","CD:2009-12-01:6"
"http://data.parliament.uk/resources/104498","2009-12-01","Census, Question put forthwith (Order, 23 November) , That the amendments be made","CD:2009-12-01:7"
"http://data.parliament.uk/resources/104499","2009-12-01","Census, Main Question put forthwith (Order, 23 November)","CD:2009-12-01:8"
